,review,labeled (humans),extracted (re-bert)
0,May be i can check , ,check 
1,It make me happy , ,make 
2,I have a normal phone and it made 1 of my pics look like one of a iphone 6 if u dont believe me look at my instagran account     wings_2004 ,pics ,pics;instagran account 
3,Love it so much , , 
4,Cant get to install ,install ,install 
5,Too many ads and secondly erratic interface  ,ads;interface ,ads;erratic interface 
6,I have already uninstalled ,uninstalled ,uninstalled 
7,Its so happy , , 
8,Nicest systematic for Android phones , , 
9,Its so easy and fun , ,fun 
10,Main diss app tight um hmmm , , 
11,Everything is awesome , , 
12,"Ive downloaded a few different ones and this is easy to use, and the pictures come out great  ",pictures ,pictures 
13,Plenty of options to choose from to make whatever kind of picture you would like ,options to choose from;make whatever kind of picture ,make whatever;picture 
14,Like it but not so cool app , ,cool 
15,"I really like the HD effect, brightness and color correction features  ",HD effect;brightness correction;color correction ,HD;brightness;color correction 
16,I can basically change the whole pic   its so cool :-) lol :-) ,change the whole pic ,change;whole pic 
17,I cant  believe  how easy  it is  , ,believe 
18,This app is very good for photos editer ,photos editer ,photos editer 
19,It is just simple and Good app  , , 
20,Its ok but u have to download stuff , ,download stuff 
21,Ive used this on my previous phone worked prrfectly but ive recntly bought samsung galaxy a5 the splash and focus functn doesnt work plz help!! ,splash functn;focus functn , 
22,This is perfect  , , 
23,"If only you could make a video editor, too, that is just as good as this  ",make a video editor ,make;video editor 
24,Makes awesome book covers! ,book covers ,book covers 
25,Theres an ad after every other button I press , ,ad;button 
26,Its has alot of things awesome , ,things 
27,This is awesome app  , , 
28,its alright so far , , 
29,I like how it is fast and easy to use! , ,use 
30,"lighter and faster than other photo editors ,with many editing options best recommended app for photo editing ",photo editing;photo editors;editing ,photo editors;editing;photo editing 
31,"super easy and i love the effects ,also super easy to install!! ",effects;install ,install 
32,Very good app , , 
33,The app has very good features indeed    , , 
34,I would give this app a 5 if there were not so many ads ,ads ,ads 
35,never use it its fake , ,fake 
36,Easy to use! , ,use 
37,Covers imperfections and has cool filters! ,filters;Covers imperfections ,Covers imperfections;cool filters 
38,I love did App Its Amazing!! , , 
39,Its a great app , , 
40,"Very useful, full features without any pro version purchase ", ,version purchase 
41,I LOVE IT , , 
42,There are so many ads popping up that the app is now unusable because an ad pops up literally every time I close the last  ,ads popping up;ad pops up ,ads popping up;ad pops up 
43,I have used it  , , 
44,Its a good app for photo editing  ,photo editing ,photo editing 
45,You can so many things from this app  , , 
46,You can download this app without fearing  , ,download 
47,I`ve seen so many photo editing tools but this one is the best 10x a lot its really proffesional ,photo editing ,photo editing 
48,I have a blast using this app with my eight yr old daughter! , , 
49,Able to take r add to photo love it! ,take photo;add to photo ,take r;photo 
50,"First, why do you need Access to my phone ", ,Access to my phone 
51,Why are you running in background when i am not using you , ,running in background 
52,Get off my phone! , ,Get 
53,Makes neat collages and great for editing ,editing ,collages;editing 
54,U have t ok down load every thing u want to add to it like the effects ,effects ,down load 
55,A powerful photo editor with many wonderfull effects ,photo editor;effects ,photo editor 
56,"Horrible editor, worst app in this entire store  ",editor ,editor 
57,"I give it half of no stars, stupid as a pair of inbred babies ", ,inbred babies 
58,Great Photo Editing App for editing Photos ,Photo Editing;editing Photos ,Photo Editing;editing Photos 
59,verry nice app and i am happy this apps , , 
60,its a great app to edit pics ,edit pics ,edit pics 
61,Very satisfied with the results I get by using this software :) ,the results I get ,results 
62,Helped me make AMAZING photos ,make AMAZING photos ,make AMAZING photos 
63,The best that one can get , ,get 
64,"I gave this app a 5 stars cause rate me pls always pops out and its annoying, good app though  ",rate me pls always pops out , 
65,Loved using it  , ,using 
66,Cant use d way i use CS6 in my lappy  , ,CS6 
67,But its far bettrr than any other apps i tried on my phone    , ,bettrr 
68,Needs an airbrush feature ,airbrush feature ,airbrush 
69,It helps me create amazing fotos  ,create amazing fotos ,create amazing fotos 
70,They really need to think outside the box and get more creative   , ,think;box;get;creative 
71,think about what makes this app better than any other app and why we should get it   , ,get 
72,thats some advice from a 12 year old   , ,advice 
73,take it or leave it , ,take;leave 
74,"I would give it 5 stars, but there are a few bugs that could be fixed ", , 
75,The app has more options than Ill ever use  , ,options 
76,It doesnt provide for a way to delete previously edited needless photos that are starting to accumulate in the gallery  ,delete previously edited needless photos;gallery ,delete previously edited needless photos 
77,Cant obtain any help on how to delete just those photos while maintaining the original photo  ,delete just those photos;maintaining the original photo ,delete just those photos;original photo 
78,Ilike it but the other app are busy  , , 
79,But i got the frames  ,frames ,the frames 
80,The best one I found so far , , 
81,"Love it    Love the enhanced picture qualities, the frames etc     ",enhanced picture qualities;frames ,picture;frames 
82,Easy very nice detail options and doesnt crash! ,detail options ,detail options 
83,Would be better if there were more frame options tho ,frame options ,frame options 
84,Have to download everything and adverts are annoying! ,adverts ,download;adverts 
85,Its best , , 
86,Best photo editor i have seen ,photo editor ,photo editor 
87,Without Aviary this app cannot working , , 
88,Great app     easy to use  , ,use 
89,But has alot of popups  ,popups ,popups 
90,Sud have an option to un blur the blur photos ,option to un blur the blur photos ,blur the blur photos 
91,its a cooooool app ever  , , 
92,i like it   !!!! , , 
93,Whenever I went to choose a photo then go back to it a blank black screen came up for a few seconds  ,choose a photo;black screen came up ,choose a photo;a blank black screen;a 
94,Also it seemed to only let me have one photo I couldnt see how to add in another photo  ,photo;add in another photo ,one photo;add in another photo 
95,The app is gud but reqire sum features more , ,reqire sum features 
96,This will be very helpfull to me  , , 
97,I love being able to have fun  with my photo  ,photo ,with my photo 
98,I can edit in many ways    It looks always perfect    so yea 3 thumbs up to this app ,edit ,edit in 
99,It perfects flaws and inperfections !! ,perfects flaws;perfects inperfections ,inperfections 
100,Lol and its fun to use too!! , ,use 
101,App is Brilliant   but only the thing due to which I gave 4 star not 5 is FONT     We cant change the FONT Text      ,FONT;change the FONT Text ,FONT;change;FONT Text 
102,Love the affects when done ,affects ,affects 
103,This aap is excellent     Love it   , ,aap 
104,( It works in my phone) , , 
105,Doesnt even start   , ,start 
106,Waste of time      , ,Waste 
107,This works realy well the only thing I dont like about it is that u had to download the stickers ,download the stickers ,download;stickers 
108,Best application in world , ,application 
109,I have used many and this I like one better then many  , , 
110,Wish i knew how to change font size ,change font size ,change font size 
111,I reallly can fix my ugly pics ,fix my ugly pics ,fix my ugly pics 
112,This app is pretty cool I think it works good , , 
113,Well for one thing your app doesnt look anything like the pictures above and for another I got to edit one photo and then the app wouldnt open and kept force closing I hate it so I removed imedently ,pictures;edit one photo;open;closing ,pictures;edit;photo 
114,Not bad app  , , 
115,nice editings cn be done overall good job  ,editings ,editings 
116,This is good app , , 
117,"If they are free, why do I have to install the frames then the effects then other things      ",install the frames;effects ,install;frames 
118,just make it come with it  , ,make 
119,Suprb app for creating more effect    ,creating more effect ,creating more effect 
120,Like a picart ,picart ,picart 
121,I dnt like that u cant redo or format the text ,redo the text;format the text ,format the text 
122,It is a great editor love it ,editor ,editor 
123,I liked it so much  , , 
124,You have to pay for stickers really ,stickers ,pay for stickers 
125,"Works very well, easy, loaded ", ,loaded 
126,Perfect mobile photo editing app ,photo editing ,photo editing 
127,It works for me , , 
128,East or west this apps is best I try my best to choose some other apps and use them Thanks developer please keep it up  , ,choose some other 
129,I love it it makes me feel real with the effects n my blue eyes ,effects ,real;blue eyes 
130,This is ousome , , 
131,Cant upload photos ,upload photos ,upload photos 
132,Love the new ehancements ,ehancements ,new ehancements 
133,This might be good but Im write before playing this app! , ,Im write;playing 
134,Lots better than some  , , 
135,Better than default editors  ,editors ,default editors 
136,its easy to use and has a good user interface  ,user interface ,user interface 
137,You have to download everything before you CD an even start date it  so much it is rubbish for not install unless you like rubbish apps ‼‼‼‼‼‼‼‼‼‼‼:-\ :-\ :-\ :-\ :-\ :-\ :-\ :-\ ,install , 
138,Solid apppp I loved it , ,Solid 
139,Making memes right now! ,Making memes ,Making memes 
140,Hope do not make any trouble , ,make 
141,Very user friendly  , ,user friendly 
142,needed to take off unwanted bits captured in the photo i took & this app did the trick! ,take off unwanted bits captured in the photo ,take off unwanted bits captured in;photo;took 
143,Its looks great and nice I like it , , 
144,Exactly the program I was looking for! , ,program 
145,I have an HTC One M8 and for some reason this app opens and then closes without out any option for me to do anything  ,opens;closes ,opens;closes 
146,My only question is if this has to do specifically with my phone  , , 
147,Especially since it seems to work well for others  , , 
148,Very good apps , ,apps 
149,Easy to use , ,use 
150,Very good photo edit app ,photo edit ,photo edit 
151,Cool app loved it , ,Cool 
152,I loved it//////\\\\\\\$£€$€¥ , , 
153,This is a great app to use , ,use 
